case_id,generator_variant,fiber_volume_fraction,mean_diameter_um,kappa,mean_ps,matrix_mu,matrix_alpha,matrix_d,fiber_mu,fiber_alpha,target_fiber_volume_fraction,target_mean_diameter_um,target_kappa,target_mean_ps,fitted_k1,fitted_k2,fit_energy_rmse,fit_energy_r2,fit_relevant_stress_rmse,fit_relevant_stress_r2,accepted_axons,attempts_total,seed,matrix_element_type,matrix_fit_representation
case_0037,straight,0.3245870000000003,0.527799,0.0,0.8709943964501687,109.128796,-5.752756,0.0,285.366066,23.250473,0.324587,0.527799,0.0,0.8776,42.208705353036336,3.324556138611766,1.3702970422300964,0.9971203395204272,23.50637522943068,0.9964400469749662,820,,42,C3D8RH,exact_one_term_ogden
case_0038,straight,0.3116760000000007,0.4970549999999999,0.0,0.8747700008947105,89.974564,-24.392405,0.0,562.991115,29.26588,0.311676,0.497055,0.0,0.8776,80.48427500532246,5.27383974174915,32.764182161159,0.9696186766449988,546.263240878054,0.980243368858914,903,,42,C3D8RH,exact_one_term_ogden
case_0039,straight,0.3540990000000006,0.418614,0.0,0.8790612701027536,172.019558,-11.432671,0.0,858.718331,23.283777,0.354099,0.418614,0.0,0.8776,111.97662074458675,3.759801356402261,10.384925372807624,0.9866585259517744,152.47646811806732,0.989102790526231,1448,,42,C3D8RH,exact_one_term_ogden
case_0040,straight,0.3959530000000006,0.434031,0.0,0.8779277021370531,88.264796,-10.133432,0.0,121.664066,7.026475,0.395953,0.434031,0.0,0.8776,8.794665775135407,0.5901849086878671,0.0437910850724522,0.9999056116870229,0.3687714522450704,0.9997726207451008,1485,,42,C3D8RH,exact_one_term_ogden
case_0041,straight,0.3347250000000004,0.505624,0.0,0.8745107881541851,226.000822,-12.196383,0.0,211.249971,27.997006,0.334725,0.505624,0.0,0.8776,59.57021133310384,4.07765962496923,3.0738585121712103,0.9972496323712154,61.34171894229976,0.9967869980750292,936,,42,C3D8RH,exact_one_term_ogden
case_0042,straight,0.3029679999999997,0.5224409999999999,5.551115123125783e-17,0.8742913186049046,373.890501,-21.145139,0.0,114.759348,18.605835,0.302968,0.522441,0.0,0.8776,14.1390051974961,2.3084685747800147,0.1976444926905639,0.9999598584869144,2.116445811280113,0.999934273082084,797,,42,C3D8RH,exact_one_term_ogden
case_0043,straight,0.3802889999999991,0.586351,0.0,0.8749259989621889,210.629416,-15.314952,0.0,587.515995,14.229754,0.380289,0.586351,0.0,0.8776,57.97039823869886,1.7003720187526747,0.546373524826973,0.9993049120035056,6.465030002132796,0.998744275651165,796,,42,C3D8RH,exact_one_term_ogden
case_0044,straight,0.3842519999999996,0.5094629999999999,0.0,0.878173698599162,83.186519,-17.191835,0.0,110.823485,29.795904,0.384252,0.509463,0.0,0.8776,34.52626709574817,4.711593813796282,4.74596996563893,0.991508766966649,92.69793589455,0.9923235291820756,1049,,42,C3D8RH,exact_one_term_ogden
case_0045,straight,0.309996,0.4210889999999999,0.0,0.8748843708096109,225.76395,-23.741546,0.0,440.28949,22.929973,0.309996,0.421089,0.0,0.8776,70.16962277883772,3.1675049768552577,1.760539132627925,0.998759778994633,28.34432662141464,0.9983369206293268,1240,,42,C3D8RH,exact_one_term_ogden
case_0046,straight,0.3399439999999993,0.4774099999999999,0.0,0.8775611879010057,92.585735,-16.825319,0.0,765.801702,22.597027,0.339944,0.47741,0.0,0.8776,81.04778766179993,3.752057294247314,8.770925940051983,0.9822935696501732,120.79358723848438,0.9866897061023676,1050,,42,C3D8RH,exact_one_term_ogden
case_0047,straight,0.3431770000000005,0.472988,0.0,0.876624440347984,293.808252,-18.286682,0.0,337.763066,19.882541,0.343177,0.472988,0.0,0.8776,44.31684319548803,2.5842047789475715,0.7323465828320248,0.9993985554562882,9.374083702424098,0.9990952299381624,1081,,42,C3D8RH,exact_one_term_ogden
case_0048,straight,0.3766189999999997,0.465067,0.0,0.8753707875023566,141.798123,-8.968389,0.0,246.440954,16.00923,0.376619,0.465067,0.0,0.8776,28.34580267469863,1.9510925512056008,0.3022026497345559,0.9992722839588436,3.5685580066940688,0.9986984801116756,1225,,42,C3D8RH,exact_one_term_ogden
case_0049,straight,0.3119629999999997,0.5543079999999999,0.0,0.8775431052524525,157.509203,-7.767245,0.0,231.636254,9.766171,0.311963,0.554308,0.0,0.8776,15.53198089414204,0.921304993648246,0.0911077622847709,0.999868771932606,0.7850058487268431,0.9996707851928234,720,,42,C3D8RH,exact_one_term_ogden
case_0050,straight,0.300598,0.434865,0.0,0.8749101327371716,165.433892,-4.889852,0.0,717.770551,13.85252,0.300598,0.434865,0.0,0.8776,53.67342075085865,1.626908047734342,0.4636439063257343,0.9991177753432648,5.4498082261491945,0.998352752536768,1125,,42,C3D8RH,exact_one_term_ogden
case_0051,straight,0.3816880000000002,0.4219589999999999,0.0,0.8784015234590433,175.91724,-6.308802,0.0,252.929369,19.180888,0.381688,0.421959,0.0,0.8776,37.99943678465444,2.4768543320424743,0.5610922774943926,0.9989229805473032,7.459565197386023,0.9984114794557098,1521,,42,C3D8RH,exact_one_term_ogden
case_0052,straight,0.3960539999999994,0.408867,0.0,0.8805002703415346,125.177706,-13.64078,0.0,141.37091,11.200687,0.396054,0.408867,0.0,0.8776,13.230633194938774,1.1573192857529715,0.0885207622468413,0.9998610951683002,0.8343002759570887,0.9997064811527808,1696,,42,C3D8RH,exact_one_term_ogden
case_0053,straight,0.3929740000000002,0.504212,0.0,0.8768155720351505,330.823278,-11.156836,0.0,143.158488,26.406989,0.392974,0.504212,0.0,0.8776,44.68349899177265,3.611831389242523,1.338686128795583,0.9987731528629684,21.290031985526348,0.998639601488448,1093,,42,C3D8RH,exact_one_term_ogden
case_0054,straight,0.3475299999999992,0.4295240000000001,0.0,0.8782538679551184,110.056316,-24.145523,0.0,701.274354,28.093984,0.34753,0.429524,0.0,0.8776,101.32511371747856,4.978174168785763,31.400985500385243,0.9730575103976534,509.1322902545233,0.9819474621172049,1336,,42,C3D8RH,exact_one_term_ogden
case_0055,straight,0.366219,0.589172,0.0,0.8767211640315934,92.46788,-10.340196,0.0,106.019358,18.058672,0.366219,0.589172,0.0,0.8776,13.832349247029711,2.267284094361785,0.1823909374520956,0.9993165430299984,2.185170682227368,0.9988569670094828,760,,42,C3D8RH,exact_one_term_ogden
case_0056,straight,0.3852860000000005,0.544519,0.0,0.873963488483478,107.398905,-16.238638,0.0,605.886505,4.40657,0.385286,0.544519,0.0,0.8776,41.75219859639091,0.3205264110114739,0.1750391554009947,0.9996556456688078,1.6485984526382318,0.99930781223909,942,,42,C3D8RH,exact_one_term_ogden
case_0057,straight,0.3251869999999996,0.5788079999999999,0.0,0.8771260660406162,150.165493,-14.396482,0.0,100.641568,23.785846,0.325187,0.578808,0.0,0.8776,21.732382390192697,3.200486666781002,0.5089255102641569,0.9990068754877774,7.436901826403294,0.9987420090053526,700,,42,C3D8RH,exact_one_term_ogden
case_0058,straight,0.3701320000000007,0.471076,0.0,0.8745545098089093,190.329692,-18.107002,0.0,482.096752,26.763781,0.370132,0.471076,0.0,0.8776,96.18761619274824,4.238194847801285,10.172030079891544,0.9907842254016346,176.46390583522822,0.99180492782602,1174,,42,C3D8RH,exact_one_term_ogden
case_0059,straight,0.3436119999999995,0.4359809999999999,0.0,0.8754004694660793,203.011123,-14.993105,0.0,204.650277,22.676994,0.343612,0.435981,0.0,0.8776,35.24546764148835,3.0494604491483326,0.760311181063364,0.99894551064267,11.171239232739076,0.9985977992961794,1272,,42,C3D8RH,exact_one_term_ogden
case_0060,straight,0.344116,0.4458039999999999,0.0,0.8751675714856931,200.055903,-16.692936,0.0,663.858713,14.109992,0.344116,0.445804,0.0,0.8776,57.335448269584944,1.6920059027214878,0.5456699684119675,0.9993149591273852,6.488752525251402,0.9987758762039276,1218,,42,C3D8RH,exact_one_term_ogden
case_0061,straight,0.3778770000000006,0.426815,0.0,0.877506470069816,154.469015,-16.095456,0.0,424.577738,15.00699,0.377877,0.426815,0.0,0.8776,42.12611846742799,1.841325138191491,0.4430918837893631,0.9992388744068584,5.393878780980189,0.9986685123014905,1478,,42,C3D8RH,exact_one_term_ogden
case_0062,straight,0.3765009999999999,0.5610389999999997,0.0,0.8732921329591307,193.210841,-9.48579,0.0,211.573764,3.444765,0.376501,0.561039,0.0,0.8776,13.389282867187848,0.1682728724725508,0.0490945301080146,0.9999706386734108,0.3818790709042008,0.999928973676484,864,,42,C3D8RH,exact_one_term_ogden
case_0063,straight,0.3790220000000006,0.5842250000000001,0.0,0.8739346367410842,253.957603,-13.981337,0.0,170.594718,20.797765,0.379022,0.584225,0.0,0.8776,30.38371758816984,2.7002339944750924,0.5280668651057833,0.999357885539815,6.657708978050558,0.9990341473018064,799,,42,C3D8RH,exact_one_term_ogden
case_0064,straight,0.3131930000000004,0.533814,0.0,0.8751819814018977,134.531489,-7.637511,0.0,124.802039,24.985803,0.313193,0.533814,0.0,0.8776,27.346031270735864,3.4433420156360035,0.7523374924696434,0.9984567641831524,12.629328037167896,0.9981502896646974,786,,42,C3D8RH,exact_one_term_ogden
case_0065,straight,0.3428060000000007,0.4190150000000001,0.0,0.877997111769636,374.578719,-24.078902,0.0,106.746812,17.315243,0.342806,0.419015,0.0,0.8776,12.532330029372217,2.121846788236612,0.1536105909848161,0.9999838198988112,1.6756232922069727,0.9999764024547796,1392,,42,C3D8RH,exact_one_term_ogden
case_0066,straight,0.3979190000000003,0.5182189999999999,0.0,0.8781990749265499,201.073359,-5.963551,0.0,154.015159,15.823471,0.397919,0.518219,0.0,0.8776,19.36522582712063,1.862970755980896,0.204117297414376,0.999669841587981,2.048041746656004,0.99928463235043,1055,,42,C3D8RH,exact_one_term_ogden
case_0067,straight,0.3582100000000001,0.5308419999999999,0.0,0.873652995696594,173.207623,-16.953734,0.0,566.818205,24.843881,0.35821,0.530842,0.0,0.8776,96.63565142092364,3.901566098460294,8.102718870457407,0.9910115269548488,131.35333217214418,0.9919021617431684,906,,42,C3D8RH,exact_one_term_ogden
case_0068,straight,0.3660269999999987,0.4289519999999999,0.0,0.878896291808225,83.684119,-18.74933,0.0,260.265987,12.468524,0.366027,0.428952,0.0,0.8776,22.079031846956276,1.4232711152211075,0.1789354733405306,0.9995529490036767,1.9998259428094716,0.9992035330392672,1410,,42,C3D8RH,exact_one_term_ogden
case_0069,straight,0.344962,0.4430379999999999,0.0,0.8746770601727321,87.884374,-21.042324,0.0,466.763109,26.529439,0.344962,0.443038,0.0,0.8776,67.22999407352691,4.503535125717804,12.50564782672796,0.9807800289693472,198.7618941945616,0.9859359189197284,1238,,42,C3D8RH,exact_one_term_ogden
case_0070,straight,0.3227560000000001,0.4565809999999999,0.0,0.8765117722168436,296.353266,-19.014111,0.0,111.984548,5.560391,0.322756,0.456581,0.0,0.8776,6.104121182872612,0.4579310093663622,0.0307918830878854,0.9999976057149051,0.2685825254971061,0.99999642455677,1089,,42,C3D8RH,exact_one_term_ogden
case_0071,straight,0.3640739999999998,0.503586,5.551115123125783e-17,0.8762221182969719,229.652036,-5.469103,0.0,624.173528,10.251434,0.364074,0.503586,0.0,0.8776,44.25595039498867,1.0473735616931974,0.2811801328926055,0.999609937591581,2.7032276316115014,0.999082097837201,1015,,42,C3D8RH,exact_one_term_ogden
case_0072,straight,0.3817539999999998,0.58348,0.0,0.8732243161533471,103.016057,-12.011166,0.0,584.615583,10.029979,0.381754,0.58348,0.0,0.8776,45.25003244375696,1.0544165860255637,0.2870161395219659,0.9992322884814154,3.1170102074054205,0.998432110225927,806,,42,C3D8RH,exact_one_term_ogden
case_0073,straight,0.3101700000000003,0.5617009999999999,0.0,0.8763270554488705,161.121253,-24.382314,0.0,104.796917,21.80741,0.31017,0.561701,0.0,0.8776,14.96444378848624,2.852781156335386,0.292139475477334,0.9997894172829104,3.647704665211001,0.9997071860211876,708,,42,C3D8RH,exact_one_term_ogden
case_0074,straight,0.3593600000000002,0.475109,0.0,0.8748626046681939,204.152277,-15.379687,0.0,256.546125,20.548143,0.35936,0.475109,0.0,0.8776,41.770990479365445,2.7194348262247514,0.7379298348601669,0.99899922088371,10.401980775135463,0.9985461349539556,1120,,42,C3D8RH,exact_one_term_ogden
case_0075,straight,0.3105720000000002,0.5993149999999999,0.0,0.8818032149253399,155.188328,-4.735441,0.0,160.220073,28.109393,0.310572,0.599315,0.0,0.8776,47.54716379616932,4.057998271170943,2.237630938663304,0.9974856169597608,45.68875837031303,0.99704101035783,625,,42,C3D8RH,exact_one_term_ogden
case_0076,straight,0.3571839999999993,0.4462309999999999,0.0,0.8751613961930746,106.177129,-14.044788,0.0,397.310537,4.213065,0.357184,0.446231,0.0,0.8776,22.361795908336028,0.3339283708316659,0.0958886853509368,0.9998120703058891,0.8740965403034011,0.9995872545171394,1264,,42,C3D8RH,exact_one_term_ogden
case_0077,straight,0.3266279999999994,0.45087,0.0,0.8751268428994714,351.764187,-4.093554,0.0,206.923688,25.101299,0.326628,0.45087,0.0,0.8776,51.61224914674129,3.378269455955506,1.3296949316063744,0.9987616044781852,19.303393242578714,0.998702865402512,1131,,42,C3D8RH,exact_one_term_ogden
case_0078,straight,0.3491650000000006,0.5561279999999998,0.0,0.8728306940954251,216.152744,-24.912459,0.0,349.256463,12.162568,0.349165,0.556128,0.0,0.8776,24.9160084372288,1.3719989026169468,0.1923262400765286,0.999942423975957,2.12095880248902,0.9999172066983192,798,,42,C3D8RH,exact_one_term_ogden
case_0079,straight,0.3538169999999999,0.483343,0.0,0.8775400761209725,98.278262,-16.737642,0.0,247.03897,19.907162,0.353817,0.483343,0.0,0.8776,30.58512427923534,2.698438258280079,0.5939896525953148,0.9984763647297178,8.76377781281895,0.9978119644306852,1067,,42,C3D8RH,exact_one_term_ogden
case_0080,straight,0.3675389999999999,0.5169819999999999,0.0,0.8749314139960803,142.980863,-6.712793,0.0,193.242521,13.143343,0.367539,0.516982,0.0,0.8776,17.887490774172434,1.449292247377053,0.1436887942103543,0.9996880397878706,1.396068027454927,0.99929119855966,981,,42,C3D8RH,exact_one_term_ogden
case_0081,straight,0.3372360000000005,0.470962,0.0,0.8773215789214801,96.70645,-9.775094,0.0,426.929636,8.492234,0.337236,0.470962,0.0,0.8776,26.375133418566264,0.8226857979436013,0.1479882888705503,0.999532563703392,1.4725054719943718,0.9989106862436008,1070,,42,C3D8RH,exact_one_term_ogden
case_0082,straight,0.3508490000000008,0.5669879999999999,5.551115123125783e-17,0.8740965074501498,130.359746,-7.689457,0.0,882.234708,6.696344,0.350849,0.566988,0.0,0.8776,50.603575875996256,0.6061812657404798,0.2428695391051384,0.9994447825295502,2.4320970647271016,0.9986293296357625,779,,42,C3D8RH,exact_one_term_ogden
case_0083,straight,0.3893100000000001,0.501165,0.0,0.8765564226402383,149.021851,-5.441062,0.0,606.799959,4.652886,0.38931,0.501165,0.0,0.8776,39.8845704325144,0.3298649891013075,0.1590910865949016,0.9997069674645158,1.4478344515375172,0.9991964473344715,1091,,42,C3D8RH,exact_one_term_ogden
case_0084,straight,0.3943409999999998,0.4095659999999999,0.0,0.8822030941208694,321.136884,-16.933288,0.0,675.09823,26.123998,0.394341,0.409566,0.0,0.8776,155.99235193379096,4.076511885515825,13.692950971528663,0.99210238809398,236.01474000263136,0.9926629095161508,1683,,42,C3D8RH,exact_one_term_ogden
case_0085,straight,0.3184770000000007,0.4807059999999999,0.0,0.8750058285885995,252.994913,-7.818522,0.0,142.133282,7.356943,0.318477,0.480706,0.0,0.8776,8.377432153289668,0.6110570433548405,0.0465126725178412,0.9999823678145724,0.3562365475925712,0.999954249157843,980,,42,C3D8RH,exact_one_term_ogden
case_0086,straight,0.3214719999999998,0.5367589999999999,5.551115123125783e-17,0.8726592394682883,185.909076,-21.017286,0.0,193.971771,3.491822,0.321472,0.536759,0.0,0.8776,9.828109971895636,0.302908021654142,0.0488075268072198,0.9999890356196546,0.4466678884970699,0.999984612292084,809,,42,C3D8RH,exact_one_term_ogden
