split,target,mae,rmse,r2
train,fitted_k1,1.1114630989927643,1.4139675165032113,0.9986626293011378
train,fitted_k2,0.01674134450487889,0.021146056063231472,0.9997703356317509
val,fitted_k1,2.8454368519820172,4.063261030922798,0.9847039404411851
val,fitted_k2,0.057379430494018065,0.07862724603890289,0.9967263816815564
test,fitted_k1,2.868713565452966,4.696133544424951,0.980363501280665
test,fitted_k2,0.06113925046158375,0.08505646666505527,0.9957611717948386
training,summary,,0.007749518254114509,
