epoch,train_loss,val_loss
1,0.6104651302342047,0.5569654706529227
2,0.3351988481545972,0.30193776827477475
3,0.21883776333962912,0.21152346833929142
4,0.16152370871265095,0.16618162491035737
5,0.12081930567057429,0.13005606042107334
6,0.0937409477287836,0.10634327200675293
7,0.07487069146716326,0.09397073136017818
8,0.06196131736450675,0.08533089846899382
9,0.05319517601748514,0.07420972670298756
10,0.04762042389185677,0.07373383617139143
11,0.040753397848533754,0.06482840110779903
12,0.036644250450916384,0.05892183989851779
13,0.03295000637723757,0.0565332353961415
14,0.031271796026309064,0.05669477686556996
15,0.02815604689114843,0.052623568545654746
16,0.02679257076136016,0.046952511404669335
17,0.02496603162631437,0.04609909084290256
18,0.022813940159093955,0.04499700377348079
19,0.021822493510899214,0.04301216206800971
20,0.020796765309336232,0.041525223052730514
21,0.01947645549956429,0.04044945387122006
22,0.01841204148245815,0.038875572446745936
23,0.01778663815946687,0.03912651524070668
24,0.01671833072857066,0.03624976904947775
25,0.01669046729462618,0.03571116113206889
26,0.015442008481601497,0.03569237800320852
27,0.015237724379162251,0.035258468562503684
28,0.014820894917701328,0.03518499140798464
29,0.014397350392606189,0.03546838130145603
30,0.01332722065889663,0.03210042129877851
31,0.013034382962403897,0.03131115370635257
32,0.01231586716391275,0.03163241156258741
33,0.012236906475526046,0.0322911444786427
34,0.01169260444507925,0.03022933787477332
35,0.011242752199792528,0.030001371398979782
36,0.011025379770152029,0.030306225976821314
37,0.010628492372025592,0.02867812601998508
38,0.010580286756539825,0.028322919391916054
39,0.010013058240170888,0.028862127766228794
40,0.009745839460970518,0.027993530773176904
41,0.009528894566998663,0.02840686574559754
42,0.009259641355829011,0.027535269509632695
43,0.009190917519568964,0.026847617157379534
44,0.008874786743105543,0.027118945475340394
45,0.008687842401420152,0.026827613004740205
46,0.00849284479710756,0.026761439130791615
47,0.008502712343520777,0.025756401850125125
48,0.008237744962452668,0.026373014777623213
49,0.008105436804192333,0.02532274108728773
50,0.007962159201848005,0.02632786219352118
51,0.007848102085834313,0.026548357863154553
52,0.007618966915201809,0.025154461096771587
53,0.007433862780981501,0.024973715886073448
54,0.0073922885389725084,0.026159297352990968
55,0.007176416492522447,0.024427361267604874
56,0.00711263670031623,0.02559913095645841
57,0.006933378813563693,0.025031613123065594
58,0.007042662571813979,0.025458816035573924
59,0.007003415029711787,0.02376750701702401
60,0.007195177799435093,0.02435370529137004
61,0.006672319596089601,0.024046279727685596
62,0.0065331343958965355,0.023928938692086194
63,0.00633127108836524,0.02428956348270726
64,0.0064265088034253445,0.02314396148680734
65,0.006203388552721196,0.023872042467803185
66,0.006140213169586238,0.023245878148497545
67,0.006173991970240347,0.023207146541018835
68,0.006007899098242751,0.022678465817583114
69,0.005809490402411794,0.02362843934057268
70,0.005708955685858818,0.023583823851014252
71,0.0056870235764337005,0.02379679841642888
72,0.005594603229406262,0.022865211450076584
73,0.0055396086146077585,0.023028013448682626
74,0.00561491940239249,0.023354946648814722
75,0.00542552357006939,0.023128673121436984
76,0.005314951261592401,0.023267800198369343
77,0.005387062379794314,0.02353257035229428
78,0.005591843013548956,0.02271353442166196
79,0.00528664480857089,0.022980802965920397
80,0.0053062101340626,0.023182042334894026
81,0.005028563507416364,0.022584831861199195
82,0.005061617499550746,0.021970195314007377
83,0.0054623492273669395,0.02109067973448106
84,0.005073518255003177,0.021530373696626054
85,0.005063339487332372,0.021607308811602676
86,0.005104431071802899,0.02249234051367462
87,0.004839295820314048,0.02314016436516346
88,0.0047522342205229585,0.02284735577880849
89,0.00465334789342945,0.022049264187680127
90,0.004546682824205997,0.021726779739028194
91,0.00453675344733467,0.022691917370090728
92,0.004518852679303281,0.02239302490731413
93,0.004472936396606619,0.0215094466389251
94,0.00446936842187552,0.021240816511913934
95,0.004397786952790389,0.021682551556696888
96,0.004271322381077357,0.021619275219568124
97,0.004425291946759787,0.021582665237396784
98,0.004487082804384799,0.02267780242542961
99,0.0042940318743012905,0.02177167115801131
100,0.004193815092655755,0.02171509818071221
101,0.004061408291424603,0.021794865685710724
102,0.0040853097221898865,0.021378949830785005
103,0.004190797045658835,0.020759580606606032
104,0.0039630131757309615,0.021317888955900418
105,0.004149956631251931,0.022382427876450228
106,0.003923412207562486,0.021391397777445018
107,0.004031165292202979,0.020887381463712478
108,0.00395807069566783,0.020552181237700633
109,0.003970154014901431,0.020626662267611912
110,0.003945526794611949,0.021690584535109497
111,0.003976765049782257,0.021059315163034015
112,0.0038078685225963003,0.022237822236578317
113,0.003794411600829667,0.02129695470454545
114,0.003816544722230547,0.02035693401950813
115,0.0037539913751770846,0.021010267141033167
116,0.0037090747021476106,0.021456154837394253
117,0.0036149441241760264,0.02142863183152329
118,0.0036369567005180474,0.021462462579950096
119,0.0036773007574807,0.020640026833095744
120,0.003910187295660449,0.022065531502333847
121,0.0035770488724498044,0.02058980584262205
122,0.003492591915336925,0.0208338495820077
123,0.0034156266135746743,0.02104872679784261
124,0.003431916761208665,0.02081848354793462
125,0.0034951274867080855,0.020944165517947637
126,0.003460639680925661,0.021451933011135713
127,0.0036079667283599156,0.01980888352232192
128,0.0036127086484728883,0.021575014269545514
129,0.003444992241089214,0.02153340964282863
130,0.0034026467377050187,0.020311568187500822
131,0.003365761611727215,0.021319828180448915
132,0.0032601152599631136,0.02072405673167134
133,0.003253705191411855,0.020917202666512747
134,0.003280303477580169,0.020140014292513046
135,0.003204613402781451,0.020709224392768663
136,0.003155472380265004,0.02095566807740994
137,0.003284018074017607,0.019854062602493547
138,0.0031577260263392698,0.02060712960120934
139,0.0032019460924554506,0.020738623613754895
140,0.0033234459975220922,0.020797700851364377
141,0.0031278422334840416,0.020219449405935376
142,0.0033977876091321763,0.021994073416040233
143,0.003373782126198617,0.02027993896920009
144,0.003151859894967832,0.020998551061348247
145,0.0030960855259182136,0.020925582959968735
146,0.0030978833202790906,0.019974773449446384
147,0.0030486895615904662,0.020421524084861982
148,0.002943266029516526,0.020851119778252648
149,0.0030150750777133617,0.020010686195145108
150,0.0030057420931307623,0.021040864838745857
151,0.002921391824209367,0.020722723588539955
152,0.003013292600275677,0.02102808177137263
153,0.0028942753954019343,0.020606665598608603
154,0.0029078114016327914,0.021274241860777247
155,0.002952223285097772,0.020006027330918073
156,0.0028689778979165163,0.020895731711115348
157,0.0028118812825062888,0.0208003699425076
158,0.0030051905401079805,0.020905312765014603
159,0.0028635848352935927,0.020841210866390448
160,0.002812510483750536,0.020203998830714137
161,0.0027623753513420085,0.020486888774737595
162,0.002837626575715054,0.020637861560636586
163,0.00277403249297552,0.020365885027570276
164,0.0027523920634862304,0.020444307769158433
165,0.002745323879134465,0.021061368787249027
166,0.0028780887502017926,0.020305465501794243
167,0.002679930007110686,0.02037319543981297
168,0.0027335103189225062,0.02016081974298411
169,0.0028245816738247933,0.02142529999856766
170,0.002873153926931976,0.020058637169935972
